"","Gender","Age","Weight","Height","Voting"
"1","Female",24.1,83.6146064516157,186.2,3
"2","Female",27.7,98.6544288769364,184,1
"3","Female",25.9,77.3105304894969,148.1,1
"4","Male",25.5,75.4253745328635,166.4,2
"5","Female",24.3,87.4939512811601,159.8,0
"6","Female",29.9,85.4383064161986,185.9,1
"7","Female",25.8,71.2811226027086,159.6,2
"8","Female",23.4,83.948030966334,153,1
"9","Male",27.6,78.9380461612716,163.6,1
"10","Female",27.8,73.4529789933935,154.8,0
"11","Male",29.4,88.5332262557,186.2,2
"12","Male",23,88.9626514226198,187.2,0
"13","Female",23.9,70.0593416729942,135.1,1
"14","Male",28.7,93.316379522346,180.2,3
"15","Female",26.7,99.6360150784254,184.7,0
"16","Female",26.1,84.0989513510838,182.1,0
"17","Female",30.1,82.7471567705274,171.8,0
"18","Female",27.7,76.5381315136328,133.5,2
"19","Female",28.8,95.0908008599654,170.5,2
"20","Male",25.4,92.5777650950477,175,0
"21","Male",27.4,95.535030064173,176,1
"22","Male",27.6,89.8913429969922,174.7,1
"23","Male",24.3,89.0493038330227,172.8,2
"24","Female",29.3,77.8571910826489,173.3,0
"25","Female",23.8,106.717375527881,206.4,0
"26","Male",25.6,91.3693048141897,202.4,0
"27","Male",25.1,82.1348712317645,169.2,1
"28","Female",28.8,77.5834793746471,163,2
"29","Male",32.5,103.347835772485,189.9,0
"30","Female",23.6,97.5107745770365,204.5,0
"31","Male",27.8,89.2660793418065,184.9,0
"32","Female",29.9,78.0563921360299,171,0
"33","Female",26.4,75.747951948829,152.9,2
"34","Male",23,96.7257529240102,197.7,0
"35","Female",26.5,87.8472477916628,170.6,0
"36","Male",26.2,71.9279705794528,161.8,1
"37","Male",31.9,98.1902201456949,181.1,0
"38","Male",24,81.1859761115164,176.1,1
"39","Male",23.8,89.983303302899,184,0
"40","Female",26.9,86.4281711723656,190.8,0
"41","Female",25.2,92.6854553071782,172.9,1
"42","Female",23.3,90.9030346170068,178.9,0
"43","Female",30.4,75.0515247007832,157.6,2
"44","Male",24,98.494142764993,185.9,1
"45","Female",24.6,82.5699555171654,175.8,0
"46","Female",29.4,95.2896332876757,185.8,1
"47","Female",23.4,85.9973285231739,187.3,1
"48","Female",23,69.8849313789979,154.5,2
"49","Female",27.1,79.0061679756269,166.2,1
"50","Male",27.8,105.199681710638,199.1,0
"51","Female",32.7,97.2000289615244,192.5,1
"52","Male",27.4,87.7683839777485,188.9,1
"53","Female",25,88.3755595991388,160.5,0
"54","Female",27.4,94.0426178907976,181.9,0
"55","Female",26.1,94.4600222472101,171.9,0
"56","Male",28.7,87.9403908248991,184.8,3
"57","Female",31.2,83.616594979167,163.3,1
"58","Female",28.4,85.4837161470205,181.5,0
"59","Female",23.4,80.3032959036529,148.9,0
"60","Female",25.8,86.0514021979645,152.4,0
"61","Female",24.9,83.4757837675512,177.7,3
"62","Female",29,99.9504080625251,189.8,2
"63","Female",26.7,104.987113835104,205.9,2
"64","Female",28,87.4797906056046,169,1
"65","Male",27.4,82.3873651379719,176.9,0
"66","Male",25.1,105.899895894155,209.9,1
"67","Male",24.5,103.257384469919,203.1,0
"68","Female",23.5,79.4956629250199,151.6,1
"69","Female",23.2,99.6319403372705,209.7,0
"70","Female",30.4,92.9352535184473,181.4,0
"71","Female",31.8,98.1283243136481,185.8,0
"72","Male",23.5,92.7525679001585,194.4,1
"73","Male",29.2,92.7960658771917,192.5,1
"74","Male",25.1,92.5036245211959,177.5,0
"75","Female",23.8,79.3013840464875,163.9,0
"76","Male",27.1,82.3799438381568,184.4,2
"77","Female",24,87.2000677632168,166.5,2
"78","Male",28,77.3045823486522,173.3,1
"79","Female",23.1,85.9362638495863,170.3,2
"80","Female",26.6,82.9775856653228,170.7,0
"81","Male",24,99.0293330106884,187.2,3
"82","Female",24.2,88.1843446791172,179.5,1
"83","Female",33.4,67.805900759995,140,2
"84","Male",27.9,85.1862417675555,169.6,1
"85","Female",24.2,88.1016260301694,168,0
"86","Female",23,81.5358434408903,164.8,0
"87","Male",30.8,88.8960686935112,179.2,0
"88","Female",29.1,95.0105585919693,171.4,3
"89","Female",24.9,81.5581390568987,174,2
"90","Female",23.2,96.6260050931945,178.3,0
"91","Female",24.2,85.4374134792015,188.5,1
"92","Male",24.4,95.1684261174873,184.3,2
"93","Male",29.7,93.7617228526622,173.1,0
"94","Female",27.2,88.4554205348715,179.4,0
"95","Female",24.7,69.7422929240391,159.1,0
"96","Male",27.3,98.1948630480096,204.3,1
"97","Female",25.2,81.9844754071906,160.7,2
"98","Male",26.7,90.4241742096841,185.8,0
"99","Male",29.9,111.405751565844,211.7,1
"100","Female",25.4,69.7268458876759,154.6,0
"101","Female",25.8,68.6858088852838,156.7,3
"102","Female",25,93.1922751192003,189.1,1
"103","Female",26.2,76.9275769039989,145.9,1
"104","Female",24.4,92.1932680454105,186.8,1
"105","Male",24.3,105.829731806926,212.4,0
"106","Male",30.3,92.9013528691605,186.4,2
"107","Male",32.9,91.50361522194,198,1
"108","Female",27.6,88.0157823683694,185.5,2
"109","Male",23.7,99.6087241243571,189.8,0
"110","Female",29.2,90.9285579830408,200.2,0
"111","Male",25.6,92.8754979575053,196.4,1
"112","Male",30.5,87.6544957429171,190.9,0
"113","Female",25,71.4918763497844,149,0
"114","Male",23.9,72.6375819494948,160.7,0
"115","Male",23.1,77.7676553567871,165.5,0
"116","Male",29.2,72.8754648024216,153.9,2
"117","Female",27.7,97.5708522554487,182.5,3
"118","Male",25.3,92.6677982911468,168.6,3
"119","Male",31.3,112.398358567245,212.3,0
"120","Male",26.9,94.1068945679814,173.7,0
"121","Female",26.4,87.9866909131408,169.9,1
"122","Female",31.4,95.6035801367834,176,1
"123","Female",23.5,75.7866102959961,164.5,3
"124","Male",27,94.4713047735393,173.6,2
"125","Female",24.1,92.2923546558246,173.7,0
"126","Female",29.3,101.742971320264,203.3,2
"127","Male",30.1,96.142757447809,184.7,1
"128","Female",36.3,83.931405835785,161.5,2
"129","Male",28.2,78.6750262672082,157.7,0
"130","Male",25.9,87.9157464340329,186.2,0
"131","Male",34.2,90.4848268583417,172.1,1
"132","Female",24.7,86.7501997122541,164.7,1
"133","Male",24.8,101.006451744586,191,2
"134","Female",25.8,78.0066272946075,161.7,2
"135","Female",27.8,70.3628762202337,148.3,0
"136","Female",24.7,81.7229902980849,154.2,2
"137","Male",28.2,79.5336594270542,169.8,3
"138","Male",25.8,79.2031185651198,170.8,0
"139","Female",24.4,99.1918583128601,198.4,0
"140","Male",24.3,96.5869390392676,177.8,0
"141","Male",28,90.9965663867071,170.4,0
"142","Female",26.3,85.5022807750851,163.8,2
"143","Female",26.5,94.8770325362682,175.1,2
"144","Male",30.6,81.1520395902917,163,1
"145","Female",24.2,83.0680471537635,171,0
"146","Male",28.9,83.5954222802073,180.6,1
"147","Female",35.4,85.5357279773802,183.8,1
"148","Male",30.5,98.0114212669432,212,1
"149","Female",27.9,82.5746956113726,161,1
"150","Male",25.4,97.7847102046013,198.7,0
"151","Male",24.4,89.2331123357639,178.8,3
"152","Female",24.1,84.3015861999243,187.7,1
"153","Female",31.5,99.7183983759955,202.8,0
"154","Female",30.7,85.4000244924799,176.1,1
"155","Female",24.2,72.4749208305031,158.9,0
"156","Female",33.4,70.7285722516477,140.7,1
"157","Female",26,71.459534339048,140.7,2
"158","Female",27.8,80.9928358353674,155.9,1
"159","Male",28.9,100.320145884529,198,0
"160","Female",42.1,78.1301902255043,160.6,0
"161","Male",26.2,82.2479127636179,178,1
"162","Female",23.7,90.7743423864245,169.7,1
"163","Female",28.4,81.7305782783776,163.1,1
"164","Female",23.9,100.25043699909,192.1,1
"165","Male",24.4,111.927399053238,212.5,1
"166","Female",26.5,58.3996413741261,125,1
"167","Male",26.6,69.0832270922139,153.4,2
"168","Male",33.9,92.6923927608877,174.5,2
"169","Male",25.1,102.23968529813,185.6,0
"170","Male",23.7,80.2444578642026,161.5,0
"171","Male",25.6,89.4557601075619,187.1,1
"172","Male",30.3,100.749563376419,198.5,1
"173","Male",30.9,91.7845297867432,171.1,0
"174","Male",33.3,105.147737740166,191.3,0
"175","Male",28.1,95.7711237439886,189.2,0
"176","Female",29.7,80.2625593489036,166.6,1
"177","Female",31.8,72.8324934866279,159.4,0
"178","Female",29.8,94.4580189472064,188.4,0
"179","Female",23.8,102.380754336342,192.8,0
"180","Female",26.5,101.182540364005,190.2,0
"181","Female",24.4,76.4771031841636,168.1,2
"182","Female",24,96.079355080612,184,1
"183","Female",23.2,88.6540012607351,170.3,1
"184","Female",29.1,99.0650625014678,182.5,2
"185","Male",25.5,89.3833987412974,175.4,0
"186","Male",34.1,79.8647390065715,179.1,0
"187","Male",37.3,93.3520428894088,195.1,2
"188","Male",28,78.5278557255864,159.3,1
"189","Male",23.3,82.6369273418561,164.9,0
"190","Female",30.7,92.5622264262289,169.7,0
"191","Female",24.6,101.431307474524,193.2,0
"192","Female",24.3,80.3904922289774,158.6,2
"193","Female",26.5,83.3636948477477,185.1,0
"194","Female",28.9,79.4293028807268,174.1,0
