"id","dim1","dim2","rating","gender","age","edu"
1,13.02427277,13.54329456,5,"Male","25 to 34 years","High school"
2,24.1651926,22.42226129,59,"Female","25 to 34 years","Some college"
3,19.71191537,22.54674852,5,"Female","25 to 34 years","4 year college"
4,16.33720735,13.46683745,10,"Female","25 to 34 years","2 year college"
5,26.67574524,27.99892804,25,"Male","25 to 34 years","Some college"
6,12.02074819,13.62148201,75,"Female","35 to 44 years","Some college"
7,27.2395258,22.29712492,20,"Female","18 to 24 years","Some college"
8,15.3540125,22.67055324,22,"Female","18 to 24 years","4 year college"
9,20.86275958,13.39213116,75,"Male","35 to 44 years","4 year college"
10,23.14139363,27.99571243,61,"Male","18 to 24 years","2 year college"
11,13.65886416,13.70137884,40,"Male","25 to 34 years","4 year college"
12,27.91711487,22.17137295,50,"Male","18 to 24 years","Some college"
13,12.5342274,22.79364228,43,"Female","18 to 24 years","High school"
14,25.10268344,13.31919573,4,"Female","45 to 54 years","4 year college"
15,18.56704065,27.99035405,40,"Female","25 to 34 years","2 year college"
16,17.39629996,13.78296365,25,"Female","55 to 64 years","Some college"
17,25.97363468,22.04503906,1,"Male","18 to 24 years","Some college"
18,12.18608852,22.91598264,60,"Female","35 to 44 years","High school"
19,27.65329409,13.24805069,12,"Female","18 to 24 years","4 year college"
20,14.46708848,27.98285432,83,"Male","25 to 34 years","Some college"
21,21.9957263,13.86621457,25,"Male","25 to 34 years","Some college"
22,22.05250095,21.91815712,29,"Female","35 to 44 years","4 year college"
23,14.42485201,23.03754155,2,"Male","18 to 24 years","4 year college"
24,27.67017696,13.17871512,8,"Male","25 to 34 years","High school"
25,12.19888242,27.97321526,13,"Female","25 to 34 years","4 year college"
26,25.93444013,13.95110929,36,"Male","25 to 34 years","Doctoral"
27,17.45185868,21.79076113,25,"Male","35 to 44 years","4 year college"
28,18.50934457,23.15828642,34,"Male","25 to 34 years","4 year college"
29,25.14774274,13.11120758,51,"Female","45 to 54 years","Some college"
30,12.51334313,27.96143945,5,"Female","18 to 24 years","4 year college"
31,27.90847631,14.03762506,20,"Male","25 to 34 years","Masters degree"
32,13.69481348,21.66288523,24,"Female","35 to 44 years","Masters degree"
